ResponseId,Age,EdLevel,Employment,WorkExp,YearsCode,DevType,OrgSize,ICorPM,RemoteWork,Industry,Country,LanguageHaveWorkedWith,DatabaseHaveWorkedWith,annual_salary_usd,max_reasonable_age
18214,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,15.0,23.0,"Developer, full-stack",20 to 99 employees,Individual contributor,In-person,Software Development,Netherlands,HTML/CSS;JavaScript;PHP;TypeScript,MongoDB;MySQL;Redis,69764.0,44.0
18225,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,4.0,12.0,"Developer, back-end",20 to 99 employees,Individual contributor,In-person,Software Development,China,Java;JavaScript;Kotlin;Python;Ruby;SQL,MongoDB;MySQL;Neo4J;Redis;SQLite,27857.0,34.0
18238,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,5.0,6.0,"Developer, front-end",Less than 20 employees,Individual contributor,Remote,Software Development,United States of America,HTML/CSS;JavaScript;PowerShell;Ruby;TypeScript,MySQL;Redis,120000.0,34.0
1824,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,11.0,22.0,Other (please specify):,"10,000 or more employees",Individual contributor,In-person,"Internet, Telecomm or Information Services",Germany,Bash/Shell (all shells);C;C++;Elixir;Python,None,122976.0,44.0
18242,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,12.0,12.0,"Developer, full-stack",20 to 99 employees,Individual contributor,Remote,Software Development,Hungary,Go;HTML/CSS;JavaScript;Python;R;Ruby;SQL,BigQuery;Dynamodb;Elasticsearch;PostgreSQL;Redis;SQLite,104100.0,44.0
18246,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,23.0,27.0,"Developer, full-stack",20 to 99 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Higher Education,United States of America,Bash/Shell (all shells);HTML/CSS;JavaScript;Python,PostgreSQL,151053.0,54.0
18264,35-44 years old,Some college/university study without earning a degree,Employed,20.0,27.0,DevOps engineer or professional,100 to 499 employees,Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Healthcare,United States of America,Bash/Shell (all shells);C;C++;Elixir;Erlang;Go;HTML/CSS;JavaScript;Lua;Perl;PowerShell;Python;SQL;TypeScript,MongoDB;PostgreSQL;Snowflake,165000.0,44.0
18268,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,3.0,8.0,"Developer, back-end","1,000 to 4,999 employees",Individual contributor,In-person,Software Development,United States of America,C#;Elixir;Go;HTML/CSS;Java;Lisp;Lua;Python;Rust;SQL;TypeScript,Elasticsearch;PostgreSQL;Redis,112000.0,24.0
18271,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,18.0,22.0,"Developer, full-stack","1,000 to 4,999 employees",Individual contributor,Remote,Software Development,United States of America,HTML/CSS;JavaScript;SQL,Microsoft SQL Server;PostgreSQL,169000.0,44.0
18292,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,15.0,19.0,Engineering manager,20 to 99 employees,People manager,Remote,Other:,Canada,Bash/Shell (all shells);C;C++;Java;JavaScript;PHP;PowerShell;Python;Rust;SQL,MariaDB;MySQL;PostgreSQL;SQLite;Amazon Redshift,100464.0,44.0
18293,18-24 years old,Some college/university study without earning a degree,"Independent contractor, freelancer, or self-employed",6.0,11.0,"Founder, technology or otherwise",20 to 99 employees,Individual contributor,Remote,Other:,France,Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Python;SQL;Swift;TypeScript,BigQuery;Cloud Firestore;Supabase,11601.0,24.0
18294,55-64 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Independent contractor, freelancer, or self-employed",40.0,43.0,"Developer, full-stack",100 to 499 employees,People manager,In-person,Software Development,Netherlands,Bash/Shell (all shells);C;Java;JavaScript;Kotlin;Perl,Elasticsearch;MariaDB;MongoDB,174022.0,64.0
18298,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,18.0,18.0,"Developer, full-stack",100 to 499 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Other:,Switzerland,Bash/Shell (all shells);C#;Go;Java;TypeScript,Microsoft SQL Server;PostgreSQL;Redis;Valkey,161191.0,44.0
18301,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,12.0,14.0,"Developer, back-end",100 to 499 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,France,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Elasticsearch;MySQL;PostgreSQL,71929.0,34.0
18309,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,23.0,30.0,"Developer, back-end","10,000 or more employees",Individual contributor,Remote,Software Development,United States of America,Bash/Shell (all shells);C;Go;Java;Kotlin;Python;Ruby;SQL,Elasticsearch;H2;MariaDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,330000.0,54.0
18320,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",2.0,5.0,"Developer, full-stack","Just me - I am a freelancer, sole proprietor, etc.",Individual contributor,Remote,Software Development,Bangladesh,Bash/Shell (all shells);C;JavaScript;PowerShell;Python;TypeScript,MongoDB,245.0,34.0
18338,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,12.0,19.0,"Architect, software or solutions",100 to 499 employees,Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,Denmark,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,Microsoft SQL Server;Redis;SQLite,124416.0,44.0
18363,45-54 years old,Some college/university study without earning a degree,"Independent contractor, freelancer, or self-employed",27.0,37.0,"Developer, back-end",20 to 99 employees,Individual contributor,Remote,Software Development,United States of America,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;SQL,Elasticsearch;MongoDB;PostgreSQL;SQLite,150000.0,54.0
18365,18-24 years old,Some college/university study without earning a degree,Student,3.0,7.0,"Developer, full-stack",Less than 20 employees,People manager,Remote,Software Development,Poland,C;Dart;Java;JavaScript;Python;SQL;TypeScript,Cloud Firestore;Firebase Realtime Database;MariaDB;Microsoft SQL Server;MySQL;SQLite,27508.0,24.0
1837,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,12.0,25.0,"Developer, back-end",100 to 499 employees,Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,Germany,Bash/Shell (all shells);Go;Java;SQL,H2;IBM DB2;Microsoft SQL Server;Oracle;PostgreSQL;SQLite,99193.0,44.0
18374,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,25.0,35.0,AI/ML engineer,Less than 20 employees,Individual contributor,Remote,Software Development,United States of America,Go;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript;Mojo,PostgreSQL;Redis;SQLite,200000.0,44.0
18377,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,19.0,25.0,"Developer, full-stack","10,000 or more employees",Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Healthcare,United States of America,C#,SQLite,160000.0,44.0
18382,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,8.0,10.0,"Developer, full-stack",100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Government,United States of America,C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server;PostgreSQL,74900.0,34.0
18397,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,25.0,27.0,"Developer, back-end",20 to 99 employees,Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,France,C;COBOL;HTML/CSS;JavaScript;Python;SQL,MariaDB;MySQL;PostgreSQL;SQLite,83531.0,54.0
18409,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,20.0,25.0,"Developer, full-stack",Less than 20 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,Netherlands,Bash/Shell (all shells);Java;JavaScript;Python,PostgreSQL,75410.0,44.0
18411,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,19.0,30.0,"Senior executive (C-suite, VP, etc.)","1,000 to 4,999 employees",People manager,"Your choice (very flexible, you can come in when you want or just as needed)",Fintech,United States of America,Bash/Shell (all shells);JavaScript;Lisp;SQL,Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite,500000.0,44.0
18432,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,4.0,6.0,"Developer, full-stack","1,000 to 4,999 employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Other:,United States of America,HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,None,138000.0,34.0
18442,35-44 years old,Some college/university study without earning a degree,Employed,10.0,18.0,"Developer, back-end","1,000 to 4,999 employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Government,Canada,C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL,Microsoft SQL Server,43775.0,44.0
18452,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,3.0,7.0,AI/ML engineer,100 to 499 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,United Kingdom of Great Britain and Northern Ireland,Bash/Shell (all shells);JavaScript;Python;SQL,Elasticsearch;Microsoft SQL Server,69432.0,34.0
18460,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,6.0,10.0,"Developer, full-stack",20 to 99 employees,Individual contributor,Remote,Software Development,Brazil,Bash/Shell (all shells);C;Lua;Ruby;Rust,PostgreSQL;Redis;SQLite,80824.0,34.0
18463,35-44 years old,Some college/university study without earning a degree,Employed,18.0,17.0,"Developer, front-end",100 to 499 employees,Individual contributor,Remote,"Transportation, or Supply Chain",Hungary,Bash/Shell (all shells);Go;Groovy;HTML/CSS;JavaScript;Lua;PowerShell;Python;TypeScript,None,58990.0,44.0
18464,35-44 years old,Some college/university study without earning a degree,Employed,18.0,20.0,"Developer, full-stack","10,000 or more employees",Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,United States of America,C#;HTML/CSS;JavaScript;TypeScript,Cosmos DB,450000.0,44.0
18467,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,15.0,20.0,"Developer, back-end",20 to 99 employees,Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,Austria,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,MySQL;Redis,97452.0,44.0
1847,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,11.0,15.0,"Developer, full-stack",20 to 99 employees,Individual contributor,In-person,Fintech,Canada,HTML/CSS;Java;JavaScript;Lua;PHP;Python;SQL;TypeScript,MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,94846.0,34.0
18484,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,4.0,12.0,"Developer, back-end",Less than 20 employees,Individual contributor,Remote,Software Development,Spain,C;Dart;Java;JavaScript;Kotlin;Rust;SQL;TypeScript,Elasticsearch;H2;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis,37125.0,34.0
18485,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,39.0,36.0,"Architect, software or solutions","10,000 or more employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Banking/Financial Services,Portugal,Bash/Shell (all shells);COBOL,IBM DB2,48146.0,54.0
18489,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,22.0,22.0,"Architect, software or solutions",20 to 99 employees,People manager,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,Romania,Elixir;Go;Kotlin;Python;Ruby,Cosmos DB;Elasticsearch;MariaDB;MongoDB;PostgreSQL;Redis,91899.0,44.0
18497,18-24 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Student,2.0,12.0,Applied scientist,"10,000 or more employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Government,United Kingdom of Great Britain and Northern Ireland,Bash/Shell (all shells);C++;HTML/CSS;JavaScript;MATLAB;Python;SQL;TypeScript,MySQL;PostgreSQL;Redis,35397.0,24.0
18507,35-44 years old,Some college/university study without earning a degree,Employed,12.0,14.0,"Developer, full-stack","1,000 to 4,999 employees",People manager,"Hybrid (some remote, leans heavy to in-person)",Other:,United States of America,JavaScript;Ruby;SQL,Cosmos DB;Microsoft SQL Server;PostgreSQL;Amazon Redshift,196000.0,44.0
18515,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,11.0,12.0,Data scientist,"10,000 or more employees",People manager,"Hybrid (some remote, leans heavy to in-person)",Insurance,South Africa,Bash/Shell (all shells);HTML/CSS;JavaScript;R;SQL,Microsoft SQL Server;Oracle,67204.0,44.0
18531,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,25.0,30.0,"Developer, full-stack",Less than 20 employees,People manager,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,United States of America,Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript;PowerShell;Python,MariaDB;PostgreSQL;Redis,240000.0,54.0
18537,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,16.0,18.0,"Developer, back-end",100 to 499 employees,Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,Germany,HTML/CSS;JavaScript;PHP;SQL;TypeScript,Elasticsearch;MariaDB;MySQL;Redis,76570.0,44.0
18596,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,26.0,40.0,"Developer, full-stack",500 to 999 employees,People manager,Remote,Fintech,Canada,Assembly;C;GDScript;HTML/CSS;JavaScript;PowerShell;Python;SQL,Microsoft SQL Server;MongoDB;SQLite,87550.0,54.0
186,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,12.0,36.0,"Developer, full-stack",Less than 20 employees,Individual contributor,In-person,Software Development,Germany,C#,Microsoft SQL Server,58007.0,44.0
18604,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,15.0,27.0,"Developer, desktop or enterprise applications","10,000 or more employees",Individual contributor,In-person,Software Development,Germany,Assembly;C++;JavaScript;Python,None,324841.0,44.0
18606,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,21.0,30.0,DevOps engineer or professional,500 to 999 employees,People manager,"Hybrid (some in-person, leans heavy to flexibility)",Banking/Financial Services,Mexico,Bash/Shell (all shells);HTML/CSS;Python;SQL,Dynamodb;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,53692.0,54.0
18612,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",10.0,15.0,"Architect, software or solutions",20 to 99 employees,Individual contributor,Remote,Software Development,Poland,C;C++;HTML/CSS;Python;Rust;SQL,IBM DB2;InfluxDB;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,150095.0,34.0
18631,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",10.0,19.0,"Developer, full-stack",20 to 99 employees,Individual contributor,Remote,Software Development,Russian Federation,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python,Dynamodb;Elasticsearch;MongoDB;MySQL;Redis;SQLite,46000.0,34.0
18634,45-54 years old,Some college/university study without earning a degree,Employed,20.0,25.0,"Developer, full-stack",500 to 999 employees,Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Media & Advertising Services,Greece,Bash/Shell (all shells);HTML/CSS;JavaScript;Perl;PHP;Python;Ruby;SQL;TypeScript,Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis;SQLite,46406.0,54.0
18654,35-44 years old,Some college/university study without earning a degree,"Independent contractor, freelancer, or self-employed",8.0,12.0,"Developer, full-stack",20 to 99 employees,Individual contributor,Remote,Manufacturing,United States of America,Bash/Shell (all shells);HTML/CSS;JavaScript;Perl;PowerShell;Python;SQL,MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,100000.0,44.0
18655,25-34 years old,"Associate degree (A.A., A.S., etc.)",Employed,10.0,14.0,"Developer, mobile",100 to 499 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,Brazil,SQL;Swift,SQLite,37682.0,34.0
1866,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,20.0,20.0,"Developer, full-stack",Less than 20 employees,Individual contributor,Remote,Fintech,Serbia,GDScript;HTML/CSS;JavaScript;SQL;TypeScript,MongoDB;PostgreSQL,594.0,44.0
18674,65 years or older,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Retired,45.0,54.0,Retired,20 to 99 employees,Individual contributor,Remote,Software Development,France,Bash/Shell (all shells);Python,MySQL;PostgreSQL;SQLite;Supabase,34804.0,
18683,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,11.0,18.0,"Developer, desktop or enterprise applications",100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Retail and Consumer Services,United States of America,C#;HTML/CSS;JavaScript;PowerShell;SQL,Microsoft SQL Server,72500.0,44.0
18698,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,3.0,18.0,AI/ML engineer,"10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,India,HTML/CSS;JavaScript;PowerShell;Python;SQL,Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL,7556.0,34.0
18709,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,12.0,18.0,"Developer, back-end","1,000 to 4,999 employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Fintech,United Kingdom of Great Britain and Northern Ireland,Go;Rust,Cassandra;Elasticsearch;SQLite,190598.0,34.0
18719,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Independent contractor, freelancer, or self-employed",10.0,23.0,"Developer, full-stack",20 to 99 employees,Individual contributor,Remote,Software Development,Germany,C++;Elixir;Go;HTML/CSS;JavaScript;MicroPython;Python;Rust;SQL;TypeScript,Cloud Firestore;Datomic;MariaDB;MySQL;PostgreSQL;Redis;SQLite,75410.0,44.0
18722,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,8.0,20.0,"Developer, full-stack",Less than 20 employees,People manager,"Hybrid (some remote, leans heavy to in-person)",Software Development,France,Go;HTML/CSS;JavaScript;Ruby,Microsoft SQL Server;PostgreSQL;Redis;SQLite,46406.0,44.0
18737,35-44 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,10.0,18.0,"Developer, back-end",20 to 99 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,Estonia,C;Elixir;Erlang;Ruby;SQL;Zig,Elasticsearch;PostgreSQL;Redis;SQLite,69609.0,44.0
18741,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,2.0,10.0,"Developer, game or graphics",20 to 99 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Other:,United Kingdom of Great Britain and Northern Ireland,Bash/Shell (all shells);C;C#;C++;HTML/CSS;Kotlin;OCaml;PowerShell;Python;Rust,None,70113.0,24.0
1875,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,1.0,6.0,"Developer, back-end","1,000 to 4,999 employees",Individual contributor,In-person,Software Development,India,Java;SQL,Dynamodb;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL,7556.0,24.0
18758,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Independent contractor, freelancer, or self-employed",8.0,18.0,Other (please specify):,20 to 99 employees,Individual contributor,Remote,Media & Advertising Services,Czech Republic,C++;HTML/CSS;JavaScript;PowerShell;TypeScript,None,197225.0,34.0
18767,25-34 years old,Some college/university study without earning a degree,Employed,8.0,10.0,"Developer, full-stack",100 to 499 employees,Individual contributor,In-person,"Internet, Telecomm or Information Services",Other,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL,H2;PostgreSQL,869.0,34.0
18770,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,12.0,20.0,"Developer, back-end",20 to 99 employees,Individual contributor,Remote,Software Development,Chile,C#;JavaScript;Python;Gleam,PostgreSQL;Redis;SQLite,118754.0,44.0
1878,18-24 years old,Some college/university study without earning a degree,Student,1.0,7.0,"Developer, full-stack",500 to 999 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,United Kingdom of Great Britain and Northern Ireland,HTML/CSS;Python;Rust;SQL;TypeScript,Dynamodb;MySQL,33219.0,24.0
18784,45-54 years old,Some college/university study without earning a degree,Employed,24.0,33.0,"Developer, full-stack","10,000 or more employees",Individual contributor,Remote,Higher Education,United States of America,Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Python;SQL,MariaDB;MySQL;SQLite,163000.0,54.0
18787,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,6.0,12.0,"Developer, full-stack",100 to 499 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)","Transportation, or Supply Chain",Germany,C#;Go;HTML/CSS;JavaScript;PowerShell;TypeScript,MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,80050.0,34.0
1879,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,5.0,11.0,"Developer, full-stack","10,000 or more employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Fintech,United Kingdom of Great Britain and Northern Ireland,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,Dynamodb;MySQL;PostgreSQL;Snowflake,102106.0,34.0
18794,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,14.0,16.0,DevOps engineer or professional,20 to 99 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Higher Education,France,Bash/Shell (all shells);C++;Go;HTML/CSS;Java;JavaScript;Lua;Python;Rust;SQL;TypeScript,Cosmos DB;Dynamodb;MongoDB;Oracle;SQLite,69609.0,44.0
18798,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,6.0,13.0,"Developer, mobile","10,000 or more employees",Individual contributor,In-person,Fintech,Norway,Dart;Kotlin;Swift,PostgreSQL,96554.0,34.0
188,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,20.0,20.0,"Developer, full-stack",Less than 20 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,Canada,C#,Elasticsearch;Microsoft SQL Server,102142.0,54.0
18805,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,10.0,15.0,"Developer, desktop or enterprise applications",100 to 499 employees,Individual contributor,Remote,Software Development,Other,C;C++;JavaScript;Python;TypeScript,MySQL;PostgreSQL;SQLite,94933.0,34.0
18813,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,15.0,20.0,"Developer, embedded applications or devices",100 to 499 employees,Individual contributor,Remote,Other:,United States of America,Bash/Shell (all shells);C;C++;PowerShell;Python,None,250000.0,44.0
18817,18-24 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,1.0,6.0,"Developer, mobile",20 to 99 employees,Individual contributor,Remote,Software Development,Ukraine,Dart,None,550.0,24.0
18819,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,22.0,25.0,Engineering manager,"5,000 to 9,999 employees",People manager,"Hybrid (some remote, leans heavy to in-person)",Healthcare,United States of America,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;R;Rust;SQL;TypeScript,PostgreSQL,234000.0,44.0
18826,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,4.0,8.0,System administrator,Less than 20 employees,Individual contributor,In-person,Retail and Consumer Services,Poland,Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Rust;TypeScript,None,32748.0,24.0
1884,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,13.0,22.0,"Developer, full-stack",20 to 99 employees,Individual contributor,In-person,Retail and Consumer Services,United States of America,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,MariaDB;SQLite,83200.0,44.0
18850,35-44 years old,Some college/university study without earning a degree,Not employed,15.0,20.0,"Developer, back-end",20 to 99 employees,Individual contributor,Remote,Software Development,Spain,Bash/Shell (all shells);Go;JavaScript;Python;Ruby,MySQL;PostgreSQL,87011.0,44.0
18857,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,30.0,40.0,"Developer, mobile",100 to 499 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Fintech,United Kingdom of Great Britain and Northern Ireland,Python;Swift,None,147033.0,54.0
18862,35-44 years old,Some college/university study without earning a degree,Employed,20.0,28.0,"Architect, software or solutions",100 to 499 employees,People manager,Remote,Software Development,United States of America,C#;C++;GDScript;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,Cosmos DB;Microsoft SQL Server,150000.0,44.0
18882,25-34 years old,Some college/university study without earning a degree,Employed,12.0,15.0,"Developer, back-end","10,000 or more employees",Individual contributor,Remote,Software Development,United States of America,Assembly;Bash/Shell (all shells);C;C++;Go;Rust,None,350000.0,34.0
18883,55-64 years old,Some college/university study without earning a degree,"Independent contractor, freelancer, or self-employed",25.0,35.0,DevOps engineer or professional,20 to 99 employees,Individual contributor,Remote,Government,Australia,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Microsoft SQL Server;MySQL;PostgreSQL;SQLite,162523.0,64.0
18895,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,15.0,35.0,"Developer, back-end",100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)","Internet, Telecomm or Information Services",Australia,Bash/Shell (all shells);C#;Go;HTML/CSS;Lisp;Python;TypeScript,Cosmos DB;Microsoft SQL Server;MongoDB,91013.0,44.0
18897,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,4.0,7.0,"Developer, full-stack","10,000 or more employees",Individual contributor,In-person,Retail and Consumer Services,Mexico,HTML/CSS;JavaScript;PHP;SQL;TypeScript,MariaDB;MySQL;SQLite,13949.0,34.0
18902,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",19.0,19.0,"Developer, AI apps or physical AI",20 to 99 employees,People manager,Remote,Software Development,Serbia,Assembly;C;C#;C++;Go;HTML/CSS;JavaScript;Lisp;Lua;OCaml;PowerShell;Python;Rust;SQL;TypeScript,Dynamodb;Firebase Realtime Database;PostgreSQL;Redis;SQLite;Supabase,116015.0,44.0
